generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
75,3745.7264830634904,-620.6028852974596,5648.552296294674,31,36.65625,128,0,128,0.0,1.0,2560,1269,1291,0.495703125,0.504296875,-31.00709738987299,325.76760945765966,2210.1805713845533,221.0180571384554,86.78751879195521,0.8,2210.1805713845533
76,3745.7264830634904,146.93631295487748,5147.727792506548,31,37.15625,128,0,128,0.0,1.0,2560,1465,1095,0.572265625,0.427734375,7.373253147743867,287.1326401539171,1050.2479057942633,105.02479057942632,162.4386471868523,0.6,2210.1805713845533
77,3749.9169518760546,-181.35431745032156,5461.022269742935,44,38.5390625,128,0,128,0.0,1.0,2560,1424,1136,0.55625,0.44375,-9.04202056001608,297.2746841773929,621.8655446823335,62.18655446823335,135.4455748458762,0.5,2210.1805713845533
78,3749.9169518760546,-899.1555811943626,5933.168349038949,52,40.015625,128,0,128,0.0,1.0,2560,1274,1286,0.49765625,0.50234375,-44.935325934718136,335.146922616079,744.3984959933864,74.43984959933864,91.80627948818795,0.6,2210.1805713845533
79,3749.9169518760546,-14.510020199464464,4884.766841781147,44,41.71875,128,0,128,0.0,1.0,2560,1390,1170,0.54296875,0.45703125,-0.700274447473231,275.71193115608526,980.5759647559557,98.05759647559557,133.8881477345024,0.6,2210.1805713845533
80,3749.9169518760546,113.76110349276541,5176.759166228852,44,43.71875,128,0,128,0.0,1.0,2560,1437,1123,0.561328125,0.438671875,5.709359862138267,284.5050034456127,1313.4127140354622,131.34127140354622,85.29686960773492,0.8,2210.1805713845533
81,3749.9169518760546,456.4250166761675,5026.285941753342,47,45.8359375,128,0,128,0.0,1.0,2560,1533,1027,0.598828125,0.401171875,22.83887974005838,277.4724837430553,1790.7825264161406,179.07825264161403,95.69283527321976,0.8,2210.1805713845533
82,3749.9169518760546,535.8000583209302,5217.4587156148245,35,45.921875,128,0,128,0.0,1.0,2560,1552,1008,0.60625,0.39375,26.81006150979652,291.65545995345815,1011.5696917239947,101.15696917239947,119.20874081683051,0.6,2210.1805713845533
83,3752.7739847349967,-112.58792930139782,5176.140126770973,55,43.7734375,128,0,128,0.0,1.0,2560,1414,1146,0.55234375,0.44765625,-5.605001933819873,304.96841667387065,809.1957732451378,80.91957732451378,113.72423910598461,0.6,2210.1805713845533
84,3752.7739847349967,228.65313764194252,5381.880253306366,55,46.515625,128,0,128,0.0,1.0,2560,1515,1045,0.591796875,0.408203125,11.45797328834713,308.13212032995176,1027.3733683480739,102.73733683480737,125.65716625527655,0.5,2210.1805713845533
85,3752.7739847349967,554.638119301458,4861.224807206392,55,47.3515625,128,0,128,0.0,1.0,2560,1492,1068,0.5828125,0.4171875,27.754370808822905,281.64228478695986,449.8859456132178,44.98859456132178,113.65558562211497,0.4,2210.1805713845533
86,3752.9617299294277,941.8664593732708,4956.0894538933835,61,52.75,128,0,128,0.0,1.0,2560,1676,884,0.6546875,0.3453125,47.11740890616354,271.79293728728413,1192.9140600316948,119.29140600316948,117.5217954686515,0.6,2210.1805713845533
87,3752.9617299294277,227.40581626684965,5780.582826692932,61,55.7734375,128,0,128,0.0,1.0,2560,1564,996,0.6109375,0.3890625,11.394720500842487,325.6103121136543,1926.8141569239303,192.681415692393,90.506344702994,0.8,2210.1805713845533
88,3752.9617299294277,414.83064391419185,4866.713201565729,61,56.2734375,128,0,128,0.0,1.0,2560,1480,1080,0.578125,0.421875,20.764598601959584,278.99108982894677,1034.2124033704085,103.42124033704086,81.03401393754255,0.6,2210.1805713845533
89,3752.9617299294277,657.1840998720979,5311.329584697835,61,57.6875,128,0,128,0.0,1.0,2560,1574,986,0.61484375,0.38515625,32.8815057748549,304.4574376614849,1633.2807468436474,163.32807468436474,106.99749187558149,0.7,2210.1805713845533
90,3753.512402212552,1019.525572301423,4482.271619279334,52,59.078125,128,0,128,0.0,1.0,2560,1607,953,0.627734375,0.372265625,51.00156767757115,248.21556106622901,1153.3782205112295,115.33782205112297,125.82541121070545,0.6,2210.1805713845533
91,3753.512402212552,722.2818516070556,4902.059608002175,52,58.3359375,128,0,128,0.0,1.0,2560,1560,1000,0.609375,0.390625,36.13770586160278,268.6005266172857,1094.4823999729022,109.44823999729022,109.23575575093233,0.7,2210.1805713845533
