generation,best_fitness,mean_fitness,std_fitness,median_fitness,best_tree_size,mean_tree_size,median_tree_size,min_tree_size,max_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,median_episode_score,std_episode_score
10,-207.92473621685133,-2539.7498218580395,2569.63385102518,-1797.835571766483,22,25.6171875,22.0,12,61,128,0,128,0.0,1.0,1920,9,1911,0.0046875,0.9953125,-172.21514740140452,-113.34364597096166,245.88469290617408
11,-206.94982206960444,-2434.8479139182273,2058.124560793419,-1720.5282517885353,22,27.0625,24.5,12,50,128,0,128,0.0,1.0,1920,8,1912,0.004166666666666667,0.9958333333333333,-165.16445547237157,-111.4301771030231,161.00185958595551
12,-206.80651506218857,-2858.5048331915546,3019.0951750595464,-1747.744017762946,22,27.0859375,23.5,7,54,128,0,128,0.0,1.0,1920,14,1906,0.007291666666666667,0.9927083333333333,-193.65040318079537,-110.29214766761578,285.6354298512373
13,-206.38541103263287,-2285.1312518277146,2074.6528378438475,-1754.49055189635,22,25.5,24.0,11,54,128,0,128,0.0,1.0,1920,13,1907,0.0067708333333333336,0.9932291666666667,-155.31519766196718,-107.80383259874444,170.69045744946987
14,-203.25856574316265,-2261.117901210223,2401.34241824245,-1541.7228484680659,22,27.4296875,25.0,9,53,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-153.82403359398054,-92.77126676362529,190.39998678699277
15,-207.56902016033996,-1755.5201618856063,1527.481606656123,-1369.9987670561702,22,27.859375,25.0,17,56,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-119.89503320281531,-87.24901937730135,137.09542850327156
16,-212.1972175616104,-2373.8348004883446,2930.171847606461,-1031.433270871636,22,30.828125,28.0,17,56,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-161.3243947267541,-86.1432348285431,239.51466556671824
17,-205.10307824105547,-2112.2010807738698,2410.008168725196,-1344.1199870075188,22,30.6484375,28.0,17,53,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-143.80582442877213,-92.77126676362529,198.92722966849894
18,-209.751043856717,-2511.9650258105985,2844.4184137000384,-1665.9208404787178,22,31.0078125,28.0,18,61,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-170.59599820684855,-101.53870640370786,227.76681193570636
19,-211.10355059457197,-2038.5277099078974,2308.5017475570585,-963.6608540113759,22,31.1484375,31.0,8,61,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-138.84653590804845,-89.33645257107156,189.81658582369803
20,-174.0357736412578,-1737.3625705039549,2184.4686137956746,-854.7668750814555,22,33.4296875,31.0,17,63,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-118.63892407478592,-84.81226793892057,176.7467295587966
21,-210.47535613735008,-1752.330836670877,1955.5026166648126,-1131.8210106373285,22,32.671875,31.0,18,55,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-119.72349016336236,-87.90469362125214,159.8268300839013
22,-214.90110169936054,-1480.0590131624622,1310.8889236824834,-1139.3052109563014,22,32.15625,31.0,22,55,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-101.74814098517773,-87.90469362125214,112.1261048190622
23,-215.48920247460856,-1882.2449569026344,2074.532191069291,-1509.759546403665,22,34.4921875,34.0,18,60,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-128.46754145097802,-90.88887626706097,179.07366088586028
24,-209.46286706782843,-1979.1706449477833,2129.630288575491,-1417.836433375162,22,32.9296875,34.0,18,58,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-134.98932044744882,-91.50419604123972,175.1267040345517
25,-201.99724734797377,-1841.5264980810823,2269.5857959152645,-1197.575896337189,22,32.9921875,34.0,16,51,128,0,128,0.0,1.0,1920,8,1912,0.004166666666666667,0.9958333333333333,-125.67417529068105,-90.32048008732164,186.50225098801107
26,-211.94257494956665,-1936.664739401334,2226.305048850273,-1395.7786996156265,22,32.8359375,34.0,13,60,128,0,128,0.0,1.0,1920,11,1909,0.005729166666666666,0.9942708333333333,-132.0870032317329,-92.35152130858168,179.44109501100337
27,-210.70458621212046,-1865.3417942724773,1960.2350162963385,-1521.611345938015,22,34.359375,34.0,13,60,128,0,128,0.0,1.0,1920,19,1901,0.009895833333333333,0.9901041666666667,-127.26103654582849,-96.80964114802191,159.08228083839467
28,-204.96543942221786,-2142.027647882521,2563.980331957438,-1090.9084381237587,22,35.8046875,39.0,12,63,128,0,128,0.0,1.0,1920,36,1884,0.01875,0.98125,-145.788708134478,-98.80526087079664,200.2404050078017
29,-199.23828953579877,-1969.408798660284,2306.4640510552035,-1183.953054853303,22,38.65625,43.5,18,59,128,0,128,0.0,1.0,1920,47,1873,0.024479166666666666,0.9755208333333333,-134.23159700617208,-96.80964114802191,188.61936538310175
30,-196.4171137829001,-2024.327669767947,2196.1485425439755,-1608.0720849440365,22,38.6171875,43.0,18,60,128,0,128,0.0,1.0,1920,41,1879,0.021354166666666667,0.9786458333333333,-137.59292115594695,-98.80526087079664,179.0724546477418
31,-198.50052028290773,-1658.5903487721785,1749.6848634823814,-1484.3785334264344,22,40.203125,44.0,18,60,128,0,128,0.0,1.0,1920,49,1871,0.025520833333333333,0.9744791666666667,-113.44846269232633,-96.23199545630033,150.77703887109917
32,-166.41503576587883,-1492.0020249499898,1885.596615014992,-598.5273154785577,44,42.375,44.0,22,62,128,0,128,0.0,1.0,1920,65,1855,0.033854166666666664,0.9661458333333334,-102.49410309622935,-82.87524177825945,161.65985872480167
33,-115.48244141534349,-1453.257881253068,1802.2547397310755,-645.282007497908,46,44.015625,44.0,22,59,128,0,128,0.0,1.0,1920,61,1859,0.03177083333333333,0.9682291666666667,-99.84952910854469,-87.05156268910652,150.96503050409493
34,-115.48244141534349,-881.5379270181365,1245.9171618212915,-219.68256584808722,46,46.796875,44.0,26,61,128,0,128,0.0,1.0,1920,85,1835,0.044270833333333336,0.9557291666666666,-60.29204099721731,-39.07469299163648,114.718356679472
35,-103.06091809525368,-1165.5634139212475,1658.320788421495,-230.13274221094326,57,46.578125,46.0,28,60,128,0,128,0.0,1.0,1920,75,1845,0.0390625,0.9609375,-79.04914646558304,-50.30535625486321,146.49000386594503
