generation,best_fitness,mean_fitness,std_fitness,median_fitness,best_tree_size,mean_tree_size,median_tree_size,min_tree_size,max_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,median_episode_score,std_episode_score
17,-261.0007097170952,-1198.836960293798,1730.1149224984797,-375.17235749449844,50,37.4765625,38.0,11,59,128,0,128,0.0,1.0,1920,85,1835,0.044270833333333336,0.9557291666666666,-79.92246401958654,-56.39728080989836,150.33102700897393
18,-261.0007097170952,-1993.568796573386,2990.8626681836968,-595.2671945924681,40,42.8125,40.5,11,61,128,0,128,0.0,1.0,1920,66,1854,0.034375,0.965625,-132.90458643822572,-62.60546921470216,232.11612610912013
19,-261.0007097170952,-1418.7292931400498,2865.1491248686493,-329.08884800538124,50,43.40625,42.0,31,61,128,0,128,0.0,1.0,1920,85,1835,0.044270833333333336,0.9557291666666666,-94.58195287600331,-51.78582704153645,231.21208785273038
20,-260.0605106247711,-1441.8979989151026,2498.1383687228986,-329.08884800538124,43,47.640625,48.0,31,62,128,0,128,0.0,1.0,1920,93,1827,0.0484375,0.9515625,-96.12653326100683,-55.92129213521912,211.8167643102939
21,-260.0605106247711,-1176.518082970993,2054.7451153210204,-261.0007097170952,43,49.1328125,50.0,37,61,128,0,128,0.0,1.0,1920,91,1829,0.04739583333333333,0.9526041666666667,-78.43453886473286,-51.78582704153645,169.05051157276844
22,-260.0605106247711,-1537.7649745646695,2878.5750700803674,-261.0007097170952,48,49.65625,50.0,38,63,128,0,128,0.0,1.0,1920,89,1831,0.04635416666666667,0.9536458333333333,-102.51766497097795,-55.59143083430027,229.5364615847666
23,-259.606951798041,-1560.2314605421484,2794.1458076024696,-261.0007097170952,59,48.4609375,48.0,36,62,128,0,128,0.0,1.0,1920,89,1831,0.04635416666666667,0.9536458333333333,-104.0154307028099,-55.59143083430027,214.67030501049186
24,-259.606951798041,-1503.2298886526182,2533.901545616704,-260.0605106247711,59,47.6484375,46.0,39,62,128,0,128,0.0,1.0,1920,89,1831,0.04635416666666667,0.9536458333333333,-100.21532591017453,-53.5403728830182,219.80214239025858
25,-139.05861045552075,-1146.3891512443724,2008.51280518946,-260.0605106247711,48,50.9765625,51.0,21,63,128,0,128,0.0,1.0,1920,94,1826,0.04895833333333333,0.9510416666666667,-76.4259434162915,-51.78582704153645,173.6927916414934
26,-139.05861045552075,-1708.4639105181304,3189.7705838514216,-260.0605106247711,56,54.96875,59.0,30,60,128,0,128,0.0,1.0,1920,100,1820,0.052083333333333336,0.9479166666666666,-113.89759403454202,-55.59143083430027,264.2307162948901
27,-139.05861045552075,-1703.4852026751857,3243.7245643187907,-259.606951798041,48,53.703125,56.0,40,61,128,0,128,0.0,1.0,1920,127,1793,0.06614583333333333,0.9338541666666667,-113.56568017834573,-55.59143083430027,268.8361678932972
28,-139.05861045552075,-1663.0290373151151,2924.9384795051415,-259.8337312114061,54,49.9140625,48.0,40,61,128,0,128,0.0,1.0,1920,145,1775,0.07552083333333333,0.9244791666666666,-110.86860248767434,-59.74144550259553,245.4604438119995
29,-139.05861045552075,-1375.4452950586876,2458.51646392083,-260.0605106247711,48,50.6328125,48.0,38,63,128,0,128,0.0,1.0,1920,144,1776,0.075,0.925,-91.69635300391249,-66.82083954368022,207.5870002921211
30,-139.05861045552075,-1082.6419260657894,2186.0317195845078,-139.05861045552075,48,51.1328125,48.0,23,63,128,0,128,0.0,1.0,1920,170,1750,0.08854166666666667,0.9114583333333334,-72.17612840438596,-55.59143083430027,179.72056332313014
31,-139.05861045552075,-1485.2577848181704,2795.032655536289,-139.99738132847236,56,51.265625,48.0,32,63,128,0,128,0.0,1.0,1920,155,1765,0.08072916666666667,0.9192708333333334,-99.01718565454469,-58.44560463326599,225.9214905990514
32,-139.05861045552075,-1164.550619356895,2299.8554338344034,-139.05861045552075,48,52.453125,54.0,21,63,128,0,128,0.0,1.0,1920,171,1749,0.0890625,0.9109375,-77.63670795712633,-55.59143083430027,196.11536500141602
33,-139.05861045552075,-1917.8434714995212,3267.1492938351757,-149.6815040920675,48,53.4609375,55.0,33,63,128,0,128,0.0,1.0,1920,147,1773,0.0765625,0.9234375,-127.8562314333014,-58.44560463326599,256.06249063611546
34,-139.05861045552075,-1464.6317938396269,2804.006282883035,-139.05861045552075,56,54.390625,56.0,27,63,128,0,128,0.0,1.0,1920,168,1752,0.0875,0.9125,-97.64211958930842,-55.59143083430027,241.40123897990773
35,-139.05861045552075,-1058.1973770569732,2302.9895194374603,-139.05861045552075,54,56.25,56.0,45,63,128,0,128,0.0,1.0,1920,180,1740,0.09375,0.90625,-70.54649180379822,-55.59143083430027,194.38539400246376
