generation,best_fitness,best_fitness_so_far,best_lander_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
80,5027.620166171148,5027.620166171148,253.5200083085574,-569.5016846466606,5103.113420428051,58,56.21875,128,0,128,0.0,1.0,2560,887,1673,0.346484375,0.653515625,-26.75385766983303,308.2373072299982,1562.1507750406302,156.21507750406303,124.62828839028168,0.6,2394.9460842327544
81,4944.7500936903525,5027.620166171148,249.3515046845176,-39.93657135332984,4505.134052013308,58,55.2109375,128,0,128,0.0,1.0,2560,950,1610,0.37109375,0.62890625,-0.32150434891649055,268.55076395346356,1804.2032219407554,180.42032219407554,128.18926216383613,0.7,2394.9460842327544
82,4390.527488293595,5027.620166171148,221.79337441467982,-527.9569216367471,5386.183119462337,45,54.5390625,128,0,128,0.0,1.0,2560,902,1658,0.35234375,0.64765625,-24.74758436308735,321.21118469557604,2332.858355767234,233.2858355767234,98.58488387573185,0.8,2394.9460842327544
83,4303.688327438568,5027.620166171148,217.38791637192844,245.6435889114885,4421.040201148799,58,54.046875,128,0,128,0.0,1.0,2560,1027,1533,0.401171875,0.598828125,13.977187258074418,270.67278941002553,1373.4296197826632,137.34296197826632,133.7262558237049,0.5,2394.9460842327544
84,4394.737550713307,5027.620166171148,221.97587753566535,-263.5733226570014,5274.065400458155,50,49.734375,128,0,128,0.0,1.0,2560,982,1578,0.38359375,0.61640625,-11.449755976600068,331.07173879270255,1804.9747804416984,180.49747804416984,105.54266647288627,0.8,2394.9460842327544
85,4695.5986869576745,5027.620166171148,237.05993434788374,-193.45933819383072,4630.015062392888,45,49.8125,128,0,128,0.0,1.0,2560,878,1682,0.34296875,0.65703125,-7.987279409691527,279.2531326602387,1948.1466563295014,194.81466563295012,154.8844519923255,0.8,2394.9460842327544
86,4587.126867298356,5027.620166171148,231.94884336491788,-189.357068903587,5896.141027421506,50,48.6796875,128,0,128,0.0,1.0,2560,1046,1514,0.40859375,0.59140625,-7.728279226429356,354.0409926915241,2264.466414924518,226.44664149245182,98.44446030925882,0.8,2394.9460842327544
87,4384.602609470476,5027.620166171148,221.3826304735238,-643.2339919506484,5205.173532795217,45,49.4375,128,0,128,0.0,1.0,2560,949,1611,0.370703125,0.629296875,-30.429226941282415,321.54999007103794,2060.486391438081,206.0486391438081,98.72666931824836,0.8,2394.9460842327544
88,4539.507381062367,5027.620166171148,229.14086905311837,62.29718984085159,5118.604629347101,45,49.796875,128,0,128,0.0,1.0,2560,1054,1506,0.41171875,0.58828125,4.935066523292586,322.1829581990458,1993.4414111964707,199.34414111964708,107.15912245976652,0.8,2394.9460842327544
89,4555.310057003897,5027.620166171148,229.92650285019482,987.2936192190657,3865.8540513928874,49,49.265625,128,0,128,0.0,1.0,2560,1152,1408,0.45,0.55,51.13933330470328,253.45145739933875,1792.0749040875655,179.20749040875654,124.90083520443021,0.7,2394.9460842327544
90,4917.061118118017,5027.620166171148,248.1230559059009,-37.66069694318509,5883.5432167504905,50,50.5859375,128,0,128,0.0,1.0,2560,1123,1437,0.438671875,0.561328125,-0.06602312840926743,359.90997123867226,2179.3736107769287,217.93736107769286,115.33565113845198,0.8,2394.9460842327544
91,4560.687882454371,5027.620166171148,230.12889412271858,297.40398027875557,5148.79224846598,45,50.46875,128,0,128,0.0,1.0,2560,1104,1456,0.43125,0.56875,16.668074013937776,307.2211991804728,2406.3797915454325,240.6379791545433,79.00766775673137,0.9,2406.3797915454325
92,5217.299896357766,5217.299896357766,262.9884948178883,224.23741788177674,5093.284881052348,58,49.6328125,128,0,128,0.0,1.0,2560,1154,1406,0.45078125,0.54921875,13.013663862838834,319.74812306773026,1902.7547934590457,190.27547934590456,108.0839625236154,0.7,2406.3797915454325
93,4676.683364427324,5217.299896357766,235.99416822136624,76.23444460989387,6335.953770529651,54,52.171875,128,0,128,0.0,1.0,2560,1228,1332,0.4796875,0.5203125,5.680737855494703,394.44287653449936,1671.9005470278285,167.19005470278285,127.38990734174466,0.7,2406.3797915454325
94,4837.210562738685,5217.299896357766,243.97352813693425,123.2869660371571,4984.777630894563,49,53.796875,128,0,128,0.0,1.0,2560,1064,1496,0.415625,0.584375,7.934766270607852,314.5018248225662,2388.9312623253386,238.89312623253392,88.93174447906776,0.9,2406.3797915454325
95,4761.031035639407,5217.299896357766,240.33905178197034,491.719510636064,5266.519462994917,61,54.796875,128,0,128,0.0,1.0,2560,1168,1392,0.45625,0.54375,26.39727240680321,313.2908085488822,2042.690669134432,204.2690669134432,140.7122150628305,0.8,2406.3797915454325
