generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
20,-419.2682669287019,-1356.5257325042178,1592.6134082275312,51,35.8203125,128,0,128,0.0,1.0,1920,63,1857,0.0328125,0.9671875,-90.43026237528119,138.4719567026304,-606.3867863990074,-60.63867863990074,43.341080478002034,0.0,-347.4051448578198
21,-419.2682669287019,-1057.4387290106529,1024.7679952288152,42,39.6640625,128,0,128,0.0,1.0,1920,66,1854,0.034375,0.965625,-70.49193610071019,105.32228383721483,-742.6992410895488,-74.26992410895488,50.391213467703906,0.0,-347.4051448578198
22,-375.1549480173018,-1450.3876625269859,1637.122165831088,40,41.7890625,128,0,128,0.0,1.0,1920,60,1860,0.03125,0.96875,-96.6878311476324,144.7678905254209,-485.71716454846455,-48.57171645484645,37.49257974475104,0.0,-347.4051448578198
23,-375.1549480173018,-1372.0462416934952,1479.3728926870722,40,42.625,128,0,128,0.0,1.0,1920,58,1862,0.030208333333333334,0.9697916666666667,-91.46592652956635,136.67169240838766,-619.3433707186907,-61.934337071869074,45.0514319980384,0.0,-347.4051448578198
24,-375.1549480173018,-1200.9413872019604,1166.4863339791527,40,44.375,128,0,128,0.0,1.0,1920,63,1857,0.0328125,0.9671875,-80.05834508429736,120.92001188567957,-681.3427529486928,-68.13427529486928,36.522785109038416,0.0,-347.4051448578198
25,-275.9159358054122,-1059.3682095102188,1007.4468212441726,40,44.7734375,128,0,128,0.0,1.0,1920,66,1854,0.034375,0.965625,-70.62020875901459,102.69333953394401,-605.6086217464251,-60.56086217464251,48.076813960132604,0.0,-347.4051448578198
26,-367.4755822715842,-1425.8632473906132,1580.682763532031,41,43.203125,128,0,128,0.0,1.0,1920,60,1860,0.03125,0.96875,-95.0532998260409,145.8263071660545,-343.1059146500374,-34.31059146500374,40.69743583471997,0.0,-343.1059146500374
27,-367.4755822715842,-1317.4012066639011,1426.5684366619478,41,42.8671875,128,0,128,0.0,1.0,1920,54,1866,0.028125,0.971875,-87.82302054842674,127.67074345244374,-508.3938811570971,-50.839388115709696,45.28362863471118,0.0,-343.1059146500374
28,-367.4755822715842,-1239.1595041206956,1426.0858055718452,41,42.4765625,128,0,128,0.0,1.0,1920,65,1855,0.033854166666666664,0.9661458333333334,-82.60679767054638,122.89385774669627,-360.8263376337144,-36.082633763371426,41.45277812545699,0.0,-343.1059146500374
29,-322.9522629886306,-1252.922680757856,1494.1691754080807,51,43.375,128,0,128,0.0,1.0,1920,64,1856,0.03333333333333333,0.9666666666666667,-83.52406934219039,134.02386419076228,-249.7482072326749,-24.974820723267488,109.39243270637125,0.1,-249.7482072326749
30,-322.9522629886306,-1278.7254896774723,1612.448401793888,51,45.3515625,128,0,128,0.0,1.0,1920,59,1861,0.030729166666666665,0.9692708333333333,-85.2442930618315,140.5263121163963,-362.64486306724365,-36.264486306724365,42.89373544392303,0.0,-249.7482072326749
31,-296.05356298884516,-1142.1005046606397,1417.9282206668167,54,48.2734375,128,0,128,0.0,1.0,1920,52,1868,0.027083333333333334,0.9729166666666667,-76.13579406070932,135.98611503427654,-442.69753882451585,-44.269753882451575,52.1338331153434,0.0,-249.7482072326749
32,-296.05356298884516,-1045.4608714519882,1179.0384357752623,54,50.3046875,128,0,128,0.0,1.0,1920,18,1902,0.009375,0.990625,-69.6927482009659,106.76213093812656,-330.5958071769547,-33.05958071769546,53.07074392470431,0.0,-249.7482072326749
33,-222.3688676178167,-1139.8536574449795,1658.7636625369532,51,51.484375,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-75.9859157046653,141.0052379221144,-269.6775169186197,-26.96775169186197,35.08501944967787,0.0,-249.7482072326749
34,-222.3688676178167,-1258.0762485819769,1531.9835676408572,51,50.6171875,128,0,128,0.0,1.0,1920,8,1912,0.004166666666666667,0.9958333333333333,-83.86798167629846,122.18327195323992,-230.99411929241006,-23.099411929241,43.32365142249702,0.0,-230.99411929241006
35,3.729420831190083,-1220.1497677596267,1663.8243034876007,54,51.0703125,128,0,128,0.0,1.0,1920,18,1902,0.009375,0.990625,-81.33910430897511,142.81725135671718,130.4122068023761,13.04122068023761,95.49345303713054,0.1,130.4122068023761
36,179.6717944282446,-1254.4890605177904,1813.9075425684907,54,51.84375,128,0,128,0.0,1.0,1920,42,1878,0.021875,0.978125,-83.62669778451937,158.61575480624904,-337.24225238512645,-33.724225238512645,39.778282013259584,0.0,130.4122068023761
37,426.0663500052198,-1047.14545787596,1562.4881656122407,54,52.765625,128,0,128,0.0,1.0,1920,57,1863,0.0296875,0.9703125,-69.80485865006399,133.47914428976225,-345.8582880393335,-34.58582880393335,61.18570056574667,0.0,130.4122068023761
38,8.507968252425059,-1076.3503940513674,2067.63475389038,55,51.3359375,128,0,128,0.0,1.0,1920,66,1854,0.034375,0.965625,-71.7521408534245,177.99349419665998,-37.127692364530816,-3.712769236453087,87.30059646839854,0.1,130.4122068023761
39,8.507968252425059,-922.5468030000461,1525.7306503435427,55,51.7734375,128,0,128,0.0,1.0,1920,71,1849,0.03697916666666667,0.9630208333333333,-61.49871915833642,149.30214014435103,-252.14451740181306,-25.2144517401813,33.887746361163785,0.0,130.4122068023761
40,17.16215599757757,-898.8791250277189,1370.0072952551495,54,53.8125,128,0,128,0.0,1.0,1920,71,1849,0.03697916666666667,0.9630208333333333,-59.91976979351461,133.9406968512952,75.85807863584783,7.585807863584781,86.98322713800674,0.1,130.4122068023761
41,58.81802068377499,-1134.2228043653781,1988.2569639175804,55,52.6328125,128,0,128,0.0,1.0,1920,65,1855,0.033854166666666664,0.9661458333333334,-75.61007758269189,185.3186082144112,-176.21322702951136,-17.621322702951137,50.37932447153019,0.0,130.4122068023761
42,58.81802068377499,-1146.7186528738189,2128.2826383226475,55,52.84375,128,0,128,0.0,1.0,1920,74,1846,0.03854166666666667,0.9614583333333333,-76.44383467075458,190.32951095465677,-175.19748000656506,-17.519748000656506,43.39039910750009,0.0,130.4122068023761
43,726.8194343036207,-1182.604491692769,1980.8339970755371,54,51.96875,128,0,128,0.0,1.0,1920,79,1841,0.04114583333333333,0.9588541666666667,-78.83659371701793,163.22641153542992,-337.2236539178328,-33.72236539178328,36.45496653736353,0.0,130.4122068023761
